"","Region","Province","CityProvince","Barangay","Population","HouseholdPopulation","Nhouseholds","Area","n","BrgyArea","Density"
"8343","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","Villa Santiago",1452,1452,383,29836.88,2311,12.910809173518,112.463903732562
"4786","REGION I - ILOCOS","PANGASINAN","AGNO","Bangan-Oda",3771,3771,878,12964.62,3265,3.97078713629403,949.685760168829
"4788","REGION I - ILOCOS","PANGASINAN","AGNO","Boboy",3311,3311,728,12964.62,3265,3.97078713629403,833.839711460884
"4785","REGION I - ILOCOS","PANGASINAN","AGNO","Aloleng",2560,2560,637,12964.62,3265,3.97078713629403,644.708444983347
"4792","REGION I - ILOCOS","PANGASINAN","AGNO","Macaboboni",2428,2428,582,12964.62,3265,3.97078713629403,611.465665788893
"4789","REGION I - ILOCOS","PANGASINAN","AGNO","Cayungnan",2119,2119,501,12964.62,3265,3.97078713629403,533.647341765513
"11579","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Subic Ibaba",3987,3973,716,16576.26,4018,4.12550024888004,966.42825341784
"11580","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Subic Ilaya",3833,3833,812,16576.26,4018,4.12550024888004,929.099447040527
"11567","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Coral Na Munti",3803,3793,792,16576.26,4018,4.12550024888004,921.827601642349
"11581","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Banyaga",3051,3051,619,16576.26,4018,4.12550024888004,739.54667699469
"11574","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Pook",2697,2697,572,16576.26,4018,4.12550024888004,653.738901296191
"4240","REGION I - ILOCOS","LA UNION","AGOO","San Nicolas West",2710,2687,540,12964.62,3265,3.97078713629403,682.48433043159
"4217","REGION I - ILOCOS","LA UNION","AGOO","San Agustin East",2387,2190,494,12964.62,3265,3.97078713629403,601.140257099707
"4221","REGION I - ILOCOS","LA UNION","AGOO","San Antonio",2372,2311,556,12964.62,3265,3.97078713629403,597.362668554882
"4223","REGION I - ILOCOS","LA UNION","AGOO","San Isidro",2082,2082,459,12964.62,3265,3.97078713629403,524.329290021613
"4235","REGION I - ILOCOS","LA UNION","AGOO","San Marcos",2072,2072,467,12964.62,3265,3.97078713629403,521.810897658396
"4808","REGION I - ILOCOS","PANGASINAN","AGUILAR","Ninoy",3810,3799,810,12964.62,3265,3.97078713629403,959.507490385372
"4809","REGION I - ILOCOS","PANGASINAN","AGUILAR","Poblacion",3505,3496,815,12964.62,3265,3.97078713629403,882.696523307278
"4802","REGION I - ILOCOS","PANGASINAN","AGUILAR","Baybay",3455,3455,721,12964.62,3265,3.97078713629403,870.104561491197
"4814","REGION I - ILOCOS","PANGASINAN","AGUILAR","Laoag",3413,3413,659,12964.62,3265,3.97078713629403,859.527313565689
"4806","REGION I - ILOCOS","PANGASINAN","AGUILAR","Buer",3245,3245,681,12964.62,3265,3.97078713629403,817.218321863657
"2419","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Ubao",2648,2643,614,19818.12,1176,16.8521428571429,157.131352519815
"2415","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Mongayang",2088,2088,499,19818.12,1176,16.8521428571429,123.901157122875
"2411","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Halag",1783,1783,431,19818.12,1176,16.8521428571429,105.802568558471
"2416","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Posnaan",1458,1458,362,19818.12,1176,16.8521428571429,86.5171873013182
"2408","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Chalalo",1448,1448,317,19818.12,1176,16.8521428571429,85.9237909549443
"16405","MIMAROPA REGION","PALAWAN","AGUTAYA","Algeciras",4584,4573,1137,29606.25,1459,20.292152159013,225.900139328689
"16406","MIMAROPA REGION","PALAWAN","AGUTAYA","Concepcion",3813,3783,812,29606.25,1459,20.292152159013,187.905155161495
"16407","MIMAROPA REGION","PALAWAN","AGUTAYA","Diit",1064,1064,295,29606.25,1459,20.292152159013,52.4340637534304
"16414","MIMAROPA REGION","PALAWAN","AGUTAYA","Villasol",861,861,225,29606.25,1459,20.292152159013,42.4301963267891
"16413","MIMAROPA REGION","PALAWAN","AGUTAYA","Villafria",516,516,135,29606.25,1459,20.292152159013,25.4285497150095
"21907","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Culasi",4617,4607,1001,12773.46,3389,3.76909412806137,1224.9627743775
"21920","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Poblacion",3662,3618,867,12773.46,3389,3.76909412806137,971.586242098852
"21910","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Malayu-an",3335,3335,803,12773.46,3389,3.76909412806137,884.827994920719
"21909","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Luca",3113,3113,674,12773.46,3389,3.76909412806137,825.927900506206
"21916","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Pili",2941,2811,718,12773.46,3389,3.76909412806137,780.293593121989
"39694","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Semut",4483,4483,755,36650.95,2490,14.7192570281124,304.56700303812
"39689","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Linongan",2454,2454,395,36650.95,2490,14.7192570281124,166.720371504695
"39696","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Upper Sinangkapan",2135,2135,344,36650.95,2490,14.7192570281124,145.048081973319
"39690","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Lower Bato-bato",1823,1823,264,36650.95,2490,14.7192570281124,123.851359923822
"39693","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Paguengan",1649,1649,249,36650.95,2490,14.7192570281124,112.030111088526
"39703","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Guinanta",2111,2111,372,36650.95,2490,14.7192570281124,143.417564892588
"39711","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Magcawa",2094,2031,403,36650.95,2490,14.7192570281124,142.262615293737
"39700","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Bucalao",1923,1923,366,36650.95,2490,14.7192570281124,130.645181093532
"39709","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Lookbisaya (Kaulungan Island)",1564,1564,235,36650.95,2490,14.7192570281124,106.255363094272
"39704","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Kailih",1520,1520,272,36650.95,2490,14.7192570281124,103.266081779599
"14172","REGION IV-A – CALABARZON","QUEZON","ALABAT","Barangay 3 (Pob.)",2039,2039,446,16576.26,4018,4.12550024888004,494.24309222949
"14173","REGION IV-A – CALABARZON","QUEZON","ALABAT","Barangay 4 (Pob.)",1486,1485,340,16576.26,4018,4.12550024888004,360.198742056411
"14171","REGION IV-A – CALABARZON","QUEZON","ALABAT","Barangay 2 (Pob.)",1362,1359,299,16576.26,4018,4.12550024888004,330.141781077276
"14166","REGION IV-A – CALABARZON","QUEZON","ALABAT","Camagong",1232,1231,272,16576.26,4018,4.12550024888004,298.630451018505
"14170","REGION IV-A – CALABARZON","QUEZON","ALABAT","Barangay 1 (Pob.)",1137,1131,233,16576.26,4018,4.12550024888004,275.602940590942
"38105","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Poblacion (Alabel)",18104,18104,4360,22786.08,1195,19.0678493723849,949.451595008883
"38096","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Alegria",7848,7848,1602,22786.08,1195,19.0678493723849,411.582861115207
"38099","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Datal Anggas",7672,7661,1587,22786.08,1195,19.0678493723849,402.352664433724
"38103","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Pag-Asa",7587,7587,1745,22786.08,1195,19.0678493723849,397.894898990963
"38102","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Maribulan",6526,6526,1470,22786.08,1195,19.0678493723849,342.251497405433
"37082","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Dado",11800,11799,2912,22786.08,1195,19.0678493723849,618.842732053956
"37079","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Bao",9595,9595,2048,22786.08,1195,19.0678493723849,503.203052038789
"37083","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Guiling",5424,5424,1224,22786.08,1195,19.0678493723849,284.457879547513
"37084","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Kitacubong (Pob.)",5297,5263,1271,22786.08,1195,19.0678493723849,277.797453533034
"37080","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Barangiran",4706,4706,1054,22786.08,1195,19.0678493723849,246.80287263101
"13476","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","San Benito",6280,6268,1468,16576.26,4018,4.12550024888004,1522.23963668524
"13474","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","San Agustin",5675,5675,1293,16576.26,4018,4.12550024888004,1375.59075448865
"13473","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","Barangay IV (Pob.)",3388,3388,801,16576.26,4018,4.12550024888004,821.233740300888
"13470","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","Barangay I (Pob.)",3366,3366,845,16576.26,4018,4.12550024888004,815.901053675558
"13477","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","San Gregorio",3315,3315,919,16576.26,4018,4.12550024888004,803.538916498655
"28252","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","Mudboron",2313,2313,516,23234.78,4390,5.29266059225512,437.020277360061
"28226","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","Binongto-an",2277,2277,521,23234.78,4390,5.29266059225512,430.218405338893
"28263","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","San Vicente",2237,2237,484,23234.78,4390,5.29266059225512,422.660769759817
"28248","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","Lingayon",1794,1794,421,23234.78,4390,5.29266059225512,338.959955721552
"28241","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","Dapdap",1721,1721,406,23234.78,4390,5.29266059225512,325.167270789739
"28285","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","Poblacion",9454,9454,2185,23234.78,4390,5.29266059225512,1786.24716911458
"28278","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","Balugo",4823,4823,1161,23234.78,4390,5.29266059225512,911.261909947071
"28281","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","Damula-an",4017,4017,1017,23234.78,4390,5.29266059225512,758.975553028692
"28287","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","San Pedro",3966,3966,937,23234.78,4390,5.29266059225512,749.339567665371
"28292","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","Tinag-an",3260,3260,805,23234.78,4390,5.29266059225512,615.947299694682
"23902","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","East Poblacion",2046,2038,470,10452.01,2446,4.27310302534751,478.808956363417
"23903","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","Ponong",1225,1225,271,10452.01,2446,4.27310302534751,286.676916688752
"23908","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","West Poblacion",1115,1091,251,10452.01,2446,4.27310302534751,260.934499679966
"23898","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","Bahi",928,928,212,10452.01,2446,4.27310302534751,217.17239076503
"23905","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","Santa Filomena",914,914,216,10452.01,2446,4.27310302534751,213.89608314573
"4875","REGION I - ILOCOS","PANGASINAN","ALCALA","San Vicente",4239,4239,1144,12964.62,3265,3.97078713629403,1067.54652276735
"4873","REGION I - ILOCOS","PANGASINAN","ALCALA","San Pedro Apartado",3606,3606,809,12964.62,3265,3.97078713629403,908.132286175761
"4858","REGION I - ILOCOS","PANGASINAN","ALCALA","Bersamin",3498,3498,827,12964.62,3265,3.97078713629403,880.933648653026
"4874","REGION I - ILOCOS","PANGASINAN","ALCALA","San Pedro III",3410,3404,828,12964.62,3265,3.97078713629403,858.771795856724
"4863","REGION I - ILOCOS","PANGASINAN","ALCALA","Kasikis",3170,3170,711,12964.62,3265,3.97078713629403,798.330379139535
"25012","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Palanas",2651,2651,619,10452.01,2446,4.27310302534751,620.392249911739
"25013","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Poblacion",2440,2435,533,10452.01,2446,4.27310302534751,571.013613649432
"25009","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Candabong",2421,2421,541,10452.01,2446,4.27310302534751,566.567196166096
"25011","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Manga",1995,1995,433,10452.01,2446,4.27310302534751,466.873835750253
"25010","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Lawaan",1706,1706,424,10452.01,2446,4.27310302534751,399.241485608988
"25021","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Poblacion",3610,3610,737,10452.01,2446,4.27310302534751,844.819321833791
"25019","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Nug-as",3289,3289,631,10452.01,2446,4.27310302534751,769.698268562698
"25022","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Pugalo",2606,2606,543,10452.01,2446,4.27310302534751,609.861261135418
"25017","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Daan-Lungsod",1863,1863,381,10452.01,2446,4.27310302534751,435.98293533971
"25020","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Pasol",1789,1789,331,10452.01,2446,4.27310302534751,418.665309351981
"25028","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Madridejos",5141,5103,1035,10452.01,2446,4.27310302534751,1203.10696220153
"25032","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Valencia",3195,3195,747,10452.01,2446,4.27310302534751,747.700203118826
"25031","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Santa Filomena",3194,3194,613,10452.01,2446,4.27310302534751,747.466181146019
"25025","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Guadalupe",2606,2606,575,10452.01,2446,4.27310302534751,609.861261135418
"25030","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Poblacion",2450,2450,523,10452.01,2446,4.27310302534751,573.353833377503
"37589","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","San Mateo",4739,4735,1097,22786.08,1195,19.0678493723849,248.533534508788
"37577","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","Dualing",2998,2998,705,22786.08,1195,19.0678493723849,157.228009381166
"37585","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","New Panay",2934,2934,636,22786.08,1195,19.0678493723849,153.871574224263
"37586","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","Pagangan",2907,2907,631,22786.08,1195,19.0678493723849,152.455578142445
"37578","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","Dunguan",2805,2805,589,22786.08,1195,19.0678493723849,147.106259611131
"12648","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Luksuhin",4253,4253,958,16576.26,4018,4.12550024888004,1030.90528261502
"12650","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Marahan I",2700,2700,594,16576.26,4018,4.12550024888004,654.466085836009
"12645","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Buck Estate",2681,2661,614,16576.26,4018,4.12550024888004,649.860583750496
"12649","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Mangas I",2334,2334,544,16576.26,4018,4.12550024888004,565.749571978239
"12657","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Taywanak Ibaba",2077,2077,445,16576.26,4018,4.12550024888004,503.454096400515
"8325","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Lublub (Pob.)",3634,3634,858,29836.88,2311,12.910809173518,281.469577248023
"8321","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Abuyo",1521,1521,367,29836.88,2311,12.910809173518,117.808262794233
"8326","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Pelaway",1190,1190,232,29836.88,2311,12.910809173518,92.1708301940417
"8322","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Galintuja",770,770,175,29836.88,2311,12.910809173518,59.6399489490858
"8323","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Cauayan",415,415,81,29836.88,2311,12.910809173518,32.1436088491826
"2400","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Santa Maria",4920,4882,1130,19818.12,1176,16.8521428571429,291.951002415971
"2394","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Pinto",3106,3106,666,19818.12,1176,16.8521428571429,184.308905183741
"2391","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Kiling",2283,2283,523,19818.12,1176,16.8521428571429,135.472385877167
"2393","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Namillangan",2218,2218,510,19818.12,1176,16.8521428571429,131.615309625736
"2395","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Poblacion",1962,1962,456,19818.12,1176,16.8521428571429,116.424363158564
"9266","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","Bibiclat",7467,7467,1638,21906.19,3102,7.06195680206318,1057.3556606603
"9267","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","Bucot",5156,5156,1129,21906.19,3102,7.06195680206318,730.109252225056
"9288","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","Santo Tomas",5117,5117,1146,21906.19,3102,7.06195680206318,724.586703575565
"9282","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","San Juan",4768,4768,1067,21906.19,3102,7.06195680206318,675.166973353194
"9290","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","Umangan",3705,3705,803,21906.19,3102,7.06195680206318,524.642121701674
"23919","REGION VII - CENTRAL VISAYAS","BOHOL","ALICIA","Poblacion (Calingganay)",4214,4214,986,10452.01,2446,4.27310302534751,986.168593409306
"23915","REGION VII - CENTRAL VISAYAS","BOHOL","ALICIA","La Hacienda",3758,3742,758,10452.01,2446,4.27310302534751,879.454573809248
"23914","REGION VII - CENTRAL VISAYAS","BOHOL","ALICIA","Katipunan",2317,2317,444,10452.01,2446,4.27310302534751,542.228910994153
"33485","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA SIBUGAY","ALICIA","Poblacion",3978,3978,822,16904.03,1904,8.87816701680672,448.065461313072
"23912","REGION VII - CENTRAL VISAYAS","BOHOL","ALICIA","Cayacay",1897,1897,435,10452.01,2446,4.27310302534751,443.939682415153
"3440","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Alilem Daya (Pob.)",1575,1568,372,12964.62,3265,3.97078713629403,396.646797206551
"3447","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Dalawa",1241,1241,269,12964.62,3265,3.97078713629403,312.53249227513
"3442","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Anaao",772,772,181,12964.62,3265,3.97078713629403,194.419890440291
"3446","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Daddaay",608,608,131,12964.62,3265,3.97078713629403,153.118255683545
"3444","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Apaya",531,531,101,12964.62,3265,3.97078713629403,133.72663448678
"21983","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Poblacion",8770,8763,1803,12773.46,3389,3.76909412806137,2326.81904511385
"21942","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Bancal",1751,1751,386,12773.46,3389,3.76909412806137,464.567861800953
"21972","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Sinamay",1401,1401,306,12773.46,3389,3.76909412806137,371.707352588884
"21974","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Taban-Manguining",1168,1168,268,12773.46,3389,3.76909412806137,309.888785027706
"21967","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Pajo",1063,1063,236,12773.46,3389,3.76909412806137,282.030632264085
"11596","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","Poblacion West",2445,2445,520,16576.26,4018,4.12550024888004,592.655399951497
"11597","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","San Jose",2418,2418,507,16576.26,4018,4.12550024888004,586.110739093137
"11592","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","Muzon Segundo",2288,2288,484,16576.26,4018,4.12550024888004,554.599409034366
"11591","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","Muzon Primero",2283,2283,462,16576.26,4018,4.12550024888004,553.387434801336
"11594","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","Ping-As",1442,1442,312,16576.26,4018,4.12550024888004,349.53336880575
"6241","REGION II - CAGAYAN VALLEY","CAGAYAN","ALLACAPAN","Matucay",2415,2415,522,29836.88,2311,12.910809173518,187.052567158496
"6230","REGION II - CAGAYAN VALLEY","CAGAYAN","ALLACAPAN","Cataratan",2040,2033,401,29836.88,2311,12.910809173518,158.0071374755
"6232","REGION II - CAGAYAN VALLEY","CAGAYAN","ALLACAPAN","Centro West (Pob.)",2040,2037,442,29836.88,2311,12.910809173518,158.0071374755
"6237","REGION II - CAGAYAN VALLEY","CAGAYAN","ALLACAPAN","Iringan",1801,1801,422,29836.88,2311,12.910809173518,139.495516957537
